Customer_ID,First_Name,Last_Name,Age,Phone_Number,Monthly_Salary,Approved_Limit,Current_Debt
1729,Aaron,Garcia,63,9629317944,50000,4500000,1351508
6270,Abbey,Gonzalez,20,9278790909,33000,1400000,320519
6126,Abbie,Rodrigues,47,9775988997,193000,2500000,2010061
2152,Abby,Fernandez,60,9612343117,117000,2600000,124806
4253,Abdul,Lopez,40,9175345317,219000,1000000,228442
3865,Abe,Martinez,28,9763703492,129000,1900000,430214
8883,Abel,Sanchez,65,9878469188,73000,2600000,1843706
1552,Abigail,Perez,20,9312500421,268000,2200000,1160363
4182,Abraham,Gomez,29,9419749629,163000,3100000,2317635
8641,Abram,Martin,37,9748307760,89000,1000000,274503
1641,Ada,Jimenez,27,9114084983,85000,2400000,354806
7170,Adah,Ruiz,49,9377510369,289000,2600000,362220
8640,Adalberto,Hernandez,41,9275637027,229000,2700000,2114892
6924,Adaline,Diaz,65,9519253076,253000,3900000,3569545
5765,Adam,Moreno,55,9998047318,56000,2200000,1036824
2736,Adan,Alvarez,35,9149386281,230000,4200000,1455835
1204,Addie,Muñoz,51,9362421503,168000,2500000,731611
5471,Adela,Romero,68,9129350558,204000,2600000,2395877
4213,Adelaida,Alonso,58,9556780762,45000,900000,392269
6424,Adelaide,Gutierrez,40,9981571392,269000,3600000,262829
1743,Adele,Navarro,66,9128707865,109000,4100000,2749475
1469,Adelia,Torres,38,9755130143,150000,1200000,703987
8144,Adelina,Dominguez,64,9157807459,184000,2800000,1315387
1390,Adeline,Vazquez,29,9707391933,142000,1300000,295690
6921,Adell,Ramos,26,9833643293,96000,4900000,482391
3393,Adella,Gil,23,9860014213,43000,2500000,2314351
2541,Adelle,Ramirez,69,9613567377,202000,1400000,590754
3948,Adena,Serrano,43,9850668363,108000,2400000,2035534
4235,Adina,Blanco,44,9376270084,278000,2200000,334888
3357,Adolfo,Molina,63,9191813781,287000,4600000,4337579
3353,Adolph,Suarez,59,9365435418,86000,3000000,1883099
5147,Adria,Morales,34,9261139969,169000,1100000,492121
6610,Adrian,Ortega,45,9957610104,138000,4000000,3844618
7571,Adriana,Delgado,31,9528688972,112000,3700000,1402238
9857,Adriane,Castro,37,9701341235,180000,2500000,2065829
3524,Adrianna,Ortiz,65,9150167494,111000,1600000,187375
1212,Adrianne,Rubio,36,9563808129,282000,1300000,1269901
1088,Adrien,Marin,34,9488986811,229000,4800000,4454514
6404,Adriene,Sanz,21,9669953880,33000,3200000,1805257
2782,Adrienne,Nuñez,36,9630748682,169000,4600000,1641709
3589,Afton,Iglesias,40,9883645168,268000,1300000,738443
7062,Agatha,Medina,32,9832111103,229000,1600000,1210547
3465,Agnes,Garrido,31,9545534969,172000,3100000,1761587
2106,Agnus,Santos,47,9413223979,101000,1300000,1032372
6339,Agripina,Castillo,27,9409905029,70000,2000000,427355
3167,Agueda,Cortes,60,9831635836,168000,1900000,745790
8360,Agustin,Lozano,64,9518442246,202000,4100000,3829681
2664,Agustina,Guerrero,25,9891249533,192000,1500000,674857
3769,Ahmad,Cano,61,9625940161,57000,4700000,482039
8365,Ahmed,Prieto,57,9917217682,122000,5000000,1614220
1066,Ai,Mendez,57,9110300525,146000,2000000,588444
2041,Aida,Calvo,60,9864625224,294000,3700000,1560964
4393,Aide,Cruz,54,9779254592,247000,4100000,65675
7561,Aiko,Gallego,56,9575734616,242000,4200000,2724216
1278,Aileen,Vidal,25,9181511694,243000,2200000,967059
2564,Ailene,Leon,28,9737140572,268000,4500000,2761360
4097,Aimee,Herrera,65,9665309079,91000,4100000,3926837
3114,Aisha,Marquez,62,9614670209,173000,2800000,56388
5621,Aja,Peña,64,9408267310,147000,1500000,43407
2806,Akiko,Cabrera,32,9686201082,73000,3800000,573370
1930,Akilah,Flores,26,9243583593,166000,2800000,350305
8526,Al,Campos,47,9149217543,137000,3900000,647452
4550,Alaina,Vega,35,9992348339,103000,2200000,358415
1012,Alaine,Diez,55,9758344890,251000,4500000,1135575
2471,Alan,Fuentes,57,9595569782,115000,2900000,2189518
7879,Alana,Carrasco,26,9427347438,115000,900000,751692
4063,Alane,Caballero,58,9361616072,125000,1900000,1832187
9881,Alanna,Nieto,66,9524176204,125000,3500000,1830936
7009,Alayna,Reyes,66,9268654052,272000,1800000,1638820
8592,Alba,Aguilar,26,9205423253,182000,4500000,1670241
2452,Albert,Pascual,47,9562313349,200000,1400000,271666
7606,Alberta,Herrero,47,9491724627,262000,2600000,237452
5604,Albertha,Santana,29,9816789699,37000,1000000,515080
6760,Albertina,Lorenzo,42,9634762010,97000,4300000,1079009
5434,Albertine,Hidalgo,26,9218601399,179000,2800000,356473
9673,Alberto,Montero,49,9981075707,156000,3600000,2214649
4197,Albina,Ibañez,52,9974454249,86000,2700000,447869
5369,Alda,Gimenez,21,9167349806,139000,2800000,364542
6521,Alden,Ferrer,37,9991320743,98000,1800000,484079
4107,Aldo,Duran,33,9462704542,124000,4800000,3142907
4263,Alease,Vicente,23,9564591142,173000,1400000,759440
9381,Alec,Benitez,28,9179390750,226000,3600000,1363377
6121,Alecia,Santiago,38,9381758869,118000,3200000,296592
7517,Aleen,Arias,21,9730406749,173000,2100000,1152920
8893,Aleida,Mora,21,9137987756,297000,2000000,533977
3437,Aleisha,Vargas,30,9223519103,99000,1500000,684934
1239,Alejandra,Carmona,25,9445837880,283000,4500000,1998961
9947,Alejandrina,Crespo,43,9751473139,153000,4000000,1820799
4106,Alejandro,Roman,49,9128163265,254000,900000,590828
7834,Alena,Pastor,60,9894229042,188000,1100000,435368
7600,Alene,Soto,23,9739726730,117000,5000000,1798853
8649,Alesha,Saez,69,9189519360,299000,4700000,2275318
3650,Aleshia,Velasco,51,9421081778,40000,2500000,1812186
7726,Alesia,Soler,36,9575328207,274000,2200000,2167243
8227,Alessandra,Moya,25,9433928278,204000,1700000,671995
9304,Aleta,Esteban,59,9988557960,32000,2200000,2003199
6905,Aletha,Parra,62,9359949074,82000,4200000,4118107
